[00:02] 今天其实非常清晰,美股有三条主线,第一条肯定是AI,第二条叫re-industrialization,就是再工业化,第三条叫digitization of finance,就是一个金融产业的创新。
[00:16] 是最早看出来OpenAI是一个产品公司,而不只是模型公司的时候下注的。
[77:58] 但只有两年是下跌的,
[78:00] 而那两年的现金流都是负增长的,
[78:03] 所以明年真的要看这个票的AI这边的进程,
[78:06] 然后特斯拉只有一件事情重要,
[78:09] 就是能不能把安全源从车里面彻底拿出来,
[78:12] 其他的一切都不太重要,
[78:14] 那如果说再加上一条给特斯拉,
[78:16] 就是它对XAI的投资会以什么样的形式,
[78:19] 然后会造成多大的股权稀释,
[78:22] 然后再过一过可能美国的这些云厂商,
[78:25] 明年的增速都会非常好,
[78:27] 我觉得就是谷歌的GCP的季度增长,
[78:30] 可能能看到超过50%的增速,
[78:32] 但是整体我不太喜欢云的竞争格局的变化,
[78:36] 因为今天我们有三朵云,
[78:38] 然后这三家公司能做到35%、40%的利润率,
[78:42] 所以是很高的,
[78:43] 但现在竞争格局我觉得彻底改变了,
[78:46] 像Woracle作为一个新入场的玩家,
[78:49] 它拿项目的时候只要求10%的利润率,
[78:52] 我们有很多的Neo Clouds,
[78:54] 像Coreweave层出不穷,
[78:56] 你还有模型公司几家下厂都亲自要做云的业务,
[79:00] 所以一下就从3朵云扩张到10朵云,
[79:03] 所以虽然市场变大了,
[79:05] 但是对利润率肯定是会有影响的。
[79:07] 云现在这个业务有两个基本的问题,
[79:11] 一个就是GPU的租赁本质上同质化太高了,
[79:15] 所以长期每一家都必须要做自己的自研芯片,
[79:19] 然后第二就是客户的集中度太高,
[79:22] 比如说Asher上面,
[79:24] 增量70%都来做,
[79:26] 像微软的CEO直接承认,
[79:29] 他说他的利润不会来自于出租GPU,
[79:32] 而是会来自于一些附加项目,
[79:34] 包括数据库,存储,安全这些。
[79:37] 像大家最关注的英美达或者芯片这边呢,
[79:41] 我会去关注就是自研芯片到底能不能deliver,
[79:46] 尤其是现在谷歌的TPU也要卖给外面的用户了,
[79:49] 那在一个很缺电的世界,
[79:52] 你让GPU和自研芯片的价格差其实就显得没有那么重要。
[79:56] 然后也会去想看一看明年二季度,
[79:59] 等Blackwell训练出来的模型效果会怎么样。
[80:02] 苹果这个票其实很迷,
[80:04] 就是他没有AI,股价表现都很好。
[80:07] 这个公司的文化也挺不一样的,
[80:09] 其他公司都是要不断去试错,
[80:11] 而只有苹果,
[80:12] 他是要等他的产品绝对完美了,
[80:15] 才能发出来。
[80:16] 所以他非常的用户导向,
[80:18] 也产品导向。
[80:19] 明年应该就能看到Tim Cook卸任,
[80:21] 然后新的CEO上台。
[80:23] 所以最近在ZQ股这边,
[80:25] 看到Tim Cook出来买咖啡吃饭,
[80:27] 感觉整个人非常松弛。
[80:29] 除了你说的这几个大票,
[80:31] 明年整体投资机会你是怎么判断的?
[80:34] 大方向上,
[80:35] 我觉得明年经济分化会非常明显。
[80:38] 会是我们典型的叫对冲基金市场,
[80:41] 就是有做多做空两边的机会。
[80:44] 那简单来说就是,
[80:46] 做多AI受益,
[80:47] 做空AI受损,
[80:49] 受损的可能有这些IT外包,
[80:51] 内容制作,
[80:52] 还会有些新的产业。
[80:54] 受益的,
[80:55] 除了半导体,
[80:56] 能源,
[80:57] 云,
[80:58] 我觉得超额收益会来自于AI应用。
[81:01] 而目前看来,
[81:02] AI应用很多都在传统的一些行业。
[81:05] 有一件事情也很有意思,
[81:07] 就是今年的三季度,
[81:09] 是很多家标普500的公司,
[81:12] 第一次给出具体的AI提效数据,
[81:15] 而且说这个数据非常能明显的,
[81:18] 在财务上面表现出来。
[81:20] 这个是一个非常快的一个速度,
[81:22] 因为之前在云那一波,
[81:24] 像标普500的公司,
[81:26] 大概是花了五年的时间,
[81:28] 才开始慢慢的做云的这个迁移。
[81:30] 那这里面也可以举几个比较有意思的例子,
[81:33] 比如说大家都熟悉的沃尔玛,
[81:35] 它用了一年的时间,
[81:37] 用AI去做供应链的需求预测,
[81:40] 它的缺货率就降低了30%,
[81:42] 连每年它卡车的行驶里程数都减少了3000万英里,
[81:47] 所以这里可以直接看到利润的改善。
[81:50] 然后AI在金融行业,
[81:53] 这个表现也很明显,
[81:55] 已经能够大幅的提升贷款的额度和审批率,
[81:59] 然后处理的时间能缩短超过80%,
[82:02] 同时违约率还能降低一半。
[82:04] 已经有银行爆出来,
[82:06] 就是自己的净利润能通过用AI提升15%。
[82:10] 然后就是CH Robinson,
[82:12] 就是全球最大的物流公司,
[82:14] 它到今天有一半的预定都是AI负责的,
[82:18] 然后在过去两年生产率提升了35%。
[82:21] 所以去挖掘这些本身传统行业的龙头,
[82:26] 去找AI能直接受益的标的,
[82:29] 我觉得会是明年很有意思的一个方向。
[82:32] 今天市场最值得关注的,
[82:33] 有没有一些普通人也能关注的一些抓手呀?
[82:36] 有一个概念,
[82:37] 今天的美股市场就是AI市场。
[82:40] 今年上半年美国GDP增量有90%都来自于AI投资,
[82:45] 所以整个大盘都是AI在撑着的。
[82:48] 今天市场的风向标,
[82:50] 其实已经慢慢不再是英伟达了。
[82:52] 因为市场最关注的是AI的收入,
[82:55] 而并不是担心AI的投入。
[82:58] 那今天规模最大,
[83:00] 最可以量化的就是OpenAI的收入。
[83:02] 所以整个的市场都会锚定在这一个公司上面。
[83:05] 那这里面我们能关注的就是包括它用户的增速,
[83:09] 它收入的增长,
[83:11] 以及美国政府会不会以某种形式,
[83:14] 参与到它的基建项目里面,
[83:16] 这些是最关键的。
[83:17] 作为一个问题,
[83:18] 明年的美国宏观需不需要担心?
[83:21] 目前来看美国的消费还是整体很健康的。
[83:25] 财政赤字也下来了很多。
[83:28] 明年一季度还会有一些刺激经济的举措,
[83:31] 包括退税,
[83:32] 包括小费免税。
[83:34] 所以总体来看美国底层面中,
[83:37] 明年的状况可能比今年要好一些,
[83:39] 消费能力也会好一些。
[83:41] 但这里面最最重要的,
[83:43] 就是明年是美国的中期选举年。
[83:46] 这届政府的KPI,
[83:47] 它非常重视股市的表现。
[83:50] 所以其实知道这个也就足够了。
[83:53] 好了,今天的节目就是这样。
[84:00] 这里是商业访谈录,
[84:02] 是一档由语言及世界工作室出品的深度访谈节目。
[84:06] 你可以到公众号关注我们的工作室,
[84:08] 获取更多的信息。
[84:10] 我们的公众号是语言及世界,
[84:13] language is world。
[84:15] 我们希望和你一起从这里探索新的世界。
