[00:01] 为什么你做这件事情比大部分人都早
[87:37] 但是你没有能力把他的模型能力或者底层能力做得特别好
[87:42] 那大公司也可以反过来借鉴你的交互方式
[87:47] 然后再加上他的模型能力
[87:49] 把这事情做得也特别好
[87:50] 对吧
[87:51] 所以可能这个世界是个相互交互方式
[87:53] 相互炒的关系
[87:54] 而不是一个单向炒的关系
[87:56] 我个人的观点
[87:57] 对
[88:00] 如果你是Mindless的创始人CEO
[88:02] 你今天要走向垂直方向吗
[88:07] 我觉得Mindless的一个价值
[88:09] 就是说他给人一个非常general的通用的感觉
[88:12] 对吧
[88:14] 但我觉得有一个非常通用的感觉的
[88:17] 或者交互方式的agent
[88:20] 和你有一些killer app是不矛盾的
[88:23] 我觉得一个比较理想的情况是
[88:26] 你有一个非常通用的交互方式
[88:29] 这个交互方式的上限或者说想象力可以足够大
[88:33] 比如说Cursor虽然他是个IDE
[88:37] 就是说如果他只做IDE的话
[88:39] 他想象空间是有上限的
[88:41] 就在IDE里面
[88:42] 但如果你做一个非常general的
[88:43] 通用的产品形态
[88:45] 比如Mindless他想象空间上限是很高的
[88:48] 但是我觉得并不矛盾的事情是
[88:51] 你能有一些每个阶段的killer app的上限是很高的
[88:52] 你能有一些每个阶段的killer app的上限是很高的
[88:52] 你能有一些每个阶段的killer app的上限是很高的
[88:53] 你能有一些每个阶段的killer app的上限是很高的
[88:54] 比如说他做PPT特别好
[88:56] 或者做deep research特别好
[88:58] 或者这个东西做特别好
[89:00] 就有点像我觉得很多伟大的产品都是这样的
[89:04] 就是说iPhone它是一个非常
[89:07] 感觉让人非常通用的产品形态
[89:09] 但他一开始或者iPad
[89:11] 他都有一些killer app
[89:12] 支持他有这个momentum
[89:14] 有这个增长的趋势
[89:17] 或者说包括拆GBT
[89:19] 包括
[89:20] 包括微信
[89:24] 我觉得很多伟大的产品都是这样
[89:25] 就是说你有一个足够通用
[89:28] 或者简单
[89:29] 或者第一性的这样的交互方式
[89:32] 它有很多想象空间
[89:34] 但是你去维护它
[89:34] 或者这个入镜设计的时候
[89:36] 你能有各种各样的应用
[89:39] 能够使它能够不停的增长
[89:42] 你觉得deep seek在过年这一波之后
[89:44] 对于你们
[89:45] 对于硅谷的AI researcher
[89:46] 有什么带来什么变化吗
[89:48] 叙事上的变化
[89:50] 我觉得从openAI的角度来说
[89:53] 我觉得大家好像讨论有几点
[89:55] 一点是说chain of thought的review
[89:59] 就是说显示这样的一个长的思维链
[90:03] 似乎是一个很重要的事情
[90:05] 它是一个产品形态上的突破
[90:07] 就是说很多时候
[90:10] 就是这个世界就是像有很多技术的积累
[90:15] 已经到了
[90:16] 就像一个洪水达到闸口
[90:18] 你需要一个时刻
[90:20] 让这个东西发达
[90:22] 让普通人让大多数人能够感受到这个技术
[90:25] 对吧
[90:26] 就是我们会说有iphone moment
[90:27] 有chat gpt moment
[90:29] 然后可能有deep seek moment
[90:31] 然后这个moment可能就是说
[90:33] 有一个非常大的这种交互方式的这种冲击
[90:36] 然后我觉得chat gpt之所以
[90:38] 就chat gpt moment
[90:40] 因为它的交互方式是一个非常新的
[90:41] 非常让人感到magical的这样的一个事情
[90:44] 然后我觉得partly这个deep seek之所以非常火
[90:47] 是因为
[90:48] 就它的这个长长的这个
[90:50] 长思维链给人的一种新的交互方式
[90:53] 或者新的magical的体验
[90:55] 当然我觉得deep seek成功是一个非常复杂的
[90:57] 有很多原因的事情
[90:59] 但我觉得这是一点
[91:00] 我觉得另一点就是重新思考开源
[91:02] 就是就是sam他在推特上也讲了很多
[91:07] 就是说这事情open就忽视了
[91:11] 但这个事情仔细想想看是有价值的
[91:15] 然后可能应该做的
[91:17] 我们就是默认的会认为
[91:20] 开源会落后币源很多
[91:21] 对吧
[91:22] 因为因为这个事情就是说
[91:26] 不像linux像操作系统一样
[91:28] 就是说
[91:29] 我有一千个人
[91:29] 我可以每个人出一份力
[91:31] 我就可以这个使这个东西变得非常好
[91:32] 它有非常好的分布的性质
[91:34] 就是感觉造这个模型
[91:37] 跟像是我有20个特别厉害的人
[91:39] 然后我有很多很多钱
[91:41] 我只需要20个很强的人
[91:42] 把这个事情做好就行
[91:43] 我需要一个非常特殊的组织
[91:44] 非常特殊的资源集中
[91:46] 非常特殊的人
[91:49] 那那这种情况下
[91:50] 开源可能就传统的开源的优势并不大
[91:53] 对吧
[91:53] 然后包括像Facebook
[91:55] 可能开源做的没有那么好
[91:57] 在美国可能大家就习惯性的忽视了这个事情
[92:01] 从某种程度来说
[92:03] 做好开源是一个很not trivial的事情
[92:06] 因为首先你要有足够多资源
[92:08] 你要有很强的人
[92:10] 你要有个很好的组织文化
[92:12] 然后你还要有商业上的justification
[92:16] 那当然最好的情况就是你是个慈善家
[92:18] 你有几百亿
[92:18] 然后你就去做
[92:20] 这个事情造福世界
[92:22] 那这个事情是很小概率的事情
[92:23] 但是小概率的事情发生
[92:24] 就有这样一个人做的这样一个事情
[92:26] 对吧
[92:27] 我觉得这个事情还是值得反思的
[92:30] 我觉得我也会思考吧
[92:31] 就是说DeepSig我觉得有很多
[92:34] 包括组织架构
[92:35] 包括它的工程的
[92:39] 包括基础设施的
[92:41] 我觉得有很多值得称道的地方
[92:43] 对
[92:44] 一个AI研究员想问你
[92:45] 他说他对agent的想象是有限的
[92:48] 所以希望你能畅想一下
[92:49] 以及你说你的终极理想
[92:51] 是打造一个世界上最强的agent
[92:52] 我看你之前说过
[92:54] 你觉得他会是什么样的
[92:55] 我什么时候说过
[92:57] 你是在一个志愿的访谈里说过
[93:00] 志愿社区
[93:01] ok
[93:03] 对我觉得就是传统上或者说
[93:07] 大多数人对agent的想象就是一个模型
[93:10] 对吧
[93:11] 他就像这个世界上最聪明的人一样
[93:12] 然后他拥有所有知识
[93:15] 拥有所有能力
[93:16] 他比我们都聪明
[93:18] 他是个最强的
[93:19] 智能体
[93:20] 我现在的感觉可能是
[93:24] 不同的交互方式下
[93:26] 有不同的好的定义
[93:29] 或者说有不同的强的边界
[93:31] 可能最终智能的边界
[93:33] 是由不同的交互方式决定的
[93:36] 而不是一个single model决定的
[93:37] 从这个角度来说
[93:39] 我觉得想象空间非常大
[93:41] 现在大家只想想到做助手这件事情
[93:45] 这个事情很明显
[93:46] 有很大的想象空间
[93:47] 有很大的进步空间
[93:48] 还有很多
[93:49] 没有诞生的交互方式
[93:51] 那就像一开始互联网刚诞生的时候
[93:54] 可能最早superapp
[93:56] 就是说我把mail实际成email
[93:59] 对吧
[94:00] 然后我把我把甚至就amazon
[94:05] 已经是个非常创新的东西了
[94:06] 对吧
[94:06] 我觉得现在就有点像那个时候
[94:09] 就是说我们想象力还是被以往的交互方式所限制了
[94:14] 这个东西我觉得很显然会创造很多种新的交互方式
[94:18] 来改变了
[94:19] 改变我们的这个世界
[94:21] 对
[94:22] 你觉得最强的agent应该是什么样
[94:24] 还是没想好
[94:26] 我觉得
[94:28] 对于不同的任务和交互方式
[94:32] 会需要不同的agent的系统或者系统去解决
[94:37] 我现在的感觉是这样的
[94:39] 就是很多很大程度上这个模型是可以
[94:41] 也许是可以share的
[94:42] 但是如果你讨论这样的一个系统的话
[94:45] 我觉得它会
[94:46] 就像你问这个世界上最强的互联网网站
[94:49] 最强的互联网是什么
[94:52] 互联网的网站或者公司是什么
[94:54] 这事情很难回答
[94:55] 对吧
[94:55] 因为它是一个multi-face
[94:57] 它是有很多不同面的事情
[94:59] 我觉得ai也是有可能变成这样的
[95:03] 可能openai会成为一个google
[95:05] 它会成为这个新的世界里面很重要的一环
[95:10] 但是我觉得并不代表这个世界就会被这样一个单级的东西弄断
[95:15] 对我觉得这样的话
[95:17] 那这个世界就会变得很灰暗
[95:18] 对吧
[95:19] 就是那大陆网站就会变得很灰暗了
[95:19] 对吧那大陆网站就会变得很灰暗了
[95:19] 那大陆网站就会变得很灰暗了
[95:20] 就没有什么价值了
[95:22] 你对未来的agent生态的构想会是什么样的
[95:25] 现在我觉得有点像当年大家都在创业做app的那个时候
[95:29] 可能11年12年那个时候
[95:32] 如果再往后推几年
[95:34] 你觉得会是什么样这个世界
[95:36] 我觉得很难说对吧
[95:39] 但是我觉得肯定会有很多不同的交互方式
[95:43] 创造出来不同的系统
[95:44] 就是说openai像openai这样的公司
[95:47] 它肯定会想继续推进
[95:49] 这样一个中心化的助手一样的系统
[95:51] 然后有更多的环境
[95:53] 有更强的能力去做更多事情
[95:56] 我觉得也会有不同的身材系统
[96:00] 然后有不同的交互方式
[96:03] 然后可能会训练完全不同的模型
[96:06] 可能甚至从prescreening开始
[96:07] 需要的能力或者很多东西是不一样的
[96:09] 就比如说那也许另一种交互方式
[96:13] 就是我想造一个我的朋友
[96:15] 我的朋友可能不需要数学这么强
[96:17] 或者物理这么强
[96:18] 或者说他
[96:19] 他数学这么强
[96:19] 就反而有点假了
[96:20] 对吧
[96:21] 那他可能也不是记忆特别好
[96:23] 他可能也会出错
[96:24] 他有感情
[96:25] 他又他也不是特别rational
[96:27] 那可能造这个东西也是有价值的
[96:29] 那可能会有人做这个事情
[96:30] 那可能做这个事情
[96:35] 你又很难去说
[96:35] 他和chatgbt哪个更强
[96:37] 对吧
[96:37] 因为它是不同的应用
[96:39] 它有不同的价值
[96:40] 那也有可能会有
[96:43] 比如说一个agent组成的社会
[96:46] 对吧
[96:46] 就是说如果你认为
[96:48] 中心化的极限是这个context delimitation的话
[96:53] 或者这么说
[96:55] 就为什么这个世界上有很多人有价值
[96:57] 并不是因为他的数学能力
[96:59] 或者考虑能力比别人强
[97:00] 是因为他有一些自己的信息
[97:01] 这些是他有别人没有的
[97:03] 对吧
[97:04] 比如说有很多中间商
[97:06] 他本质上他就是拥有这个信息差
[97:08] 对吧
[97:08] 拥有这个信息差的人
[97:10] 他还是会想去维持自己的权利
[97:15] 或者维持自己的资源
[97:17] 也许
[97:18] 这样的人他会发明出来一个更multi agent
[97:21] 或者更distributed的network
[97:23] 对吧
[97:24] 比如说也许在交易的世界里面
[97:27] 这个信息是很重要的
[97:29] 对吧
[97:29] 每个人他可能只有拥有信息的一小部分
[97:31] 这种情况下可能又会有新的不同的形态
[97:37] 他可能是一个multi agent
[97:39] 就每个人我们有一个自己的agent
[97:40] 然后agent之间
[97:42] 我和100万个人交换信息
[97:44] 或者去做交易
[97:46] 或者去达成某些目标
[97:48] 或者去做某些事情
[97:50] 那我觉得fundamentally就是说
[97:53] 现在非常强的巨头
[97:56] 非常强的这些节点
[97:58] 他是有motivation去继续把这事情变得更中心化的
[98:02] 但是不在这个中心化以外的这个力量
[98:07] 他也是有motivation去做一些非中心化的事情
[98:11] 对我觉得这个世界可能不会是一方超过另一方
[98:16] 我觉得两方都会有自己的力量
[98:18] 都会有自己的
[98:20] 两种力量在博弈
[98:22] 很有意思
[98:24] 在你脑海中的未来的世界还不是单极的
[98:27] 也不是中心化的
[98:28] again就是我说的
[98:29] 可能会它变得更中心化
[98:31] 很难变得更diverse
[98:32] 并不矛盾
[98:33] 对吧
[98:34] 我觉得刚刚我们之前提到历史的演变
[98:38] 有两个因素
[98:39] 一个是它的中心化程度
[98:41] 或者贫富差距的拉大
[98:42] 另一个方面是我完成阶级跨越
[98:45] 或者我去从一个
[98:48] 边缘到中心的这样一个速度或者可能性
[98:51] 但可能另一个第三个性质
[98:54] 就是说网络本身diversity
[98:56] 或者它的复杂程度
[98:57] 或者它的多样性
[98:59] 这个事情历史上来说也是越来越好的
[99:02] 对吧
[99:02] 就是说虽然世界上最大的公司
[99:06] 对这个世界的经济的支配变得越来越强
[99:08] 但世界上的产业总是越来越多了
[99:11] 这两个事情可以同时存在
[99:13] 是
[99:14] 更关键的就是大模型技术没有垄断性
[99:18] 所以说这股的头三次家好像都能追到一定的水平
[99:23] 如果欧派有垄断性
[99:24] 那是比较可怕的
[99:25] 我觉得暂时没有垄断性
[99:28] 但是如果你能找到一个产品形态
[99:32] 在那里面就是研究的优势
[99:35] 能够转换成商业优势
[99:37] 那就会产生弊的
[99:39] 我觉得可能现在对于差GP来说
[99:43] 可能一个比较好的事情是memory
[99:46] 就我觉得这是一个考虑的问题
[99:48] 可能产生壁垒的地方
[99:50] 因为如果没有memory
[99:51] 那其实就是在大家在拼谁的模型更强
[99:54] 对不对
[99:54] 但有了memory之后
[99:56] 我拼的不仅是谁的模型更强
[99:57] 而是用户用哪个更多
[100:01] 哪个联系更强
[100:03] 我在这里面有了更多积累的context
[100:05] 他能够给我更好的体验之后
[100:07] 那我就会有这个联系
[100:10] 那可能是一种研究优势
[100:12] 转换成商业优势的方式
[100:14] 现在XHVD它会出现灰色提示词
[100:16] 说记忆更新嘛
[100:17] 这个更新的
[100:18] 到底是什么
[100:19] 这就是你说的
[100:20] 它增加年薪这种方式
[100:22] 我其实最近没有怎么用memory这个feature
[100:24] 但是好像最近就做了一些提升
[100:29] 我怀疑它产生或者使用记忆的方式变得更好
[100:34] 对
[100:35] 包括可能它能够更有效的
[100:37] 从很多的用户的对话中
[100:41] 提炼出来
[100:43] 或者说retrieve
[100:44] 就是搜索出来跟相关的东西
[100:48] 这个我不是特别了解细节
[100:50] 对
[100:50] 但是我觉得intuitively它是一个可能会产生联系或者壁垒的一个东西
[100:57] 你觉得mcp本质也是memory吗
[101:00] 因为我的很多的context在我很多的个人软件企业软件里头
[101:05] 那mcp本质也是hack我的context的一种方法
[101:10] 我觉得从某种程度上来说是的
[101:12] 就是说从某种程度上来说
[101:14] 这个世界有
[101:18] 很有一个memory hierarchy
[101:20] 对吧
[101:21] 就从一个agent角度
[101:22] 但是这个memory hierarchy最外层永远是环境
[101:27] 就有点像你考虑一个电脑
[101:29] 对吧
[101:30] 它有个memory hierarchy
[101:31] 就是我从cpu的缓存到内存到硬盘
[101:37] 但是最外层的memory永远是外部世界的环境
[101:42] 对吧
[101:42] 比如我插一个U盘拔一个U盘
[101:47] 或者我把一个东西上传到互联网上
[101:49] 或者我作为一个音乐把它变成一个光盘
[101:54] 然后把它给对吧
[101:56] 就是外部世界永远是memory hierarchy的最后面一层
[102:02] 这个是我前年冬天我读了一本就是冯诺依曼死前写的最后一本书
[102:14] 叫做the brain and the computer
[102:16] 我觉得他写的
[102:18] 我觉得
[102:19] 最让我印象深刻的一句话
[102:21] 就是说
[102:21] Essentially environment is always the most outer part of the memory hierarchy
[102:26] 我觉得这个事情还是挺哲学的
[102:28] 对
[102:32] 就对于人来说
[102:33] 就是说你有你的memory hierarchy
[102:35] 对吧
[102:35] 你有你的working memory
[102:36] 你有你的long term memory
[102:37] 在脑子里面
[102:38] 但可能最外层的其实是比如你的笔记本
[102:42] 你的google doc
[102:43] 你的notion
[102:44] 这些事情相当于是你的最long term的memory
[102:48] 或者说你的最外层的memory hierarchy的部分
[102:51] 你觉得
[102:52] long context
[102:53] 跟long term memory
[102:55] 是一个什么样的关系
[102:57] 我觉得
[102:59] long context是一个实现long term memory的方式
[103:04] 就是说如果你能实现
[103:05] 一亿或者一千亿或者无限长的context
[103:08] 那它是实现long term memory的一种方式
[103:11] 它是一种和人人区别很大的方式
[103:14] 但是这是有可能的对吧
[103:16] 就是说这是一种可能的方式
[103:19] 当然我觉得会有很多不同的方式
[103:21] 不好说哪一种是最好
[103:22] 或者说最合适
[103:23] 对
[103:24] 现在业界实现long context有linear的方式
[103:28] sparse的方式
[103:29] 或者hybrid
[103:29] 你有倾向吗
[103:31] 我不想对方法进行评论
[103:32] 但我想对evaluation和task进行评论
[103:35] 起码去年为止
[103:36] 大家主要还在做的就是一些
[103:38] 所谓的long range arena
[103:40] 就是说
[103:41] hey in the haystack
[103:42] 就是说我有一个非常长的东西
[103:44] 然后我在中间插入一句话
[103:46] 比如姚顺宇现在在open ai
[103:49] 然后我去问你这个问题
[103:51] 我不想对方法进行评论
[103:52] 但我想对这个问题去评论一下
[103:52] 对这个任务进行评论
[103:53] 我觉得这是一个necessary
[103:55] 但是不是sufficient的一个task
[103:57] 就是你能完成这个task
[103:59] 是个long term memory work的前置条件
[104:02] 但它远远还没有到一个充分条件
[104:04] 我觉得它是个必要条件
[104:06] 但是我觉得现在大家
[104:08] 有点陷入这个必要条件中
[104:12] 而没有创造更多
[104:15] 更难或者更有价值的东西
[104:17] 我觉得这是一个问题
[104:18] 当你没有这样一个很好的评估的方式的时候
[104:21] 我觉得就很难讨论
[104:22] 讨论各种方式的好坏
[104:24] 你在文章也说了
[104:25] 忽视任务的本身的定义和评估标准的重要性
[104:28] 那你觉得应该怎么去定义和评估呢
[104:30] 比如说我们怎么去衡量一个agent
[104:32] 你会有哪些北极性的指标
[104:34] 还是要思考怎么去创造更多现实世界的价值
[104:39] 对
[104:40] 然后当然这个事情在不同的领域
[104:43] 在不同的应用下
[104:45] 会有非常不同的任务设计
[104:48] 有非常不同的方法
[104:49] 有非常不同的各种各样的东西
[104:51] 但是我觉得
[104:52] 一个大的趋势
[104:54] 就是说我们应该去更多思考实际价值
[104:59] 而不是这些被定义出来的类似于考试或者游戏的东西
[105:04] 因为我们发现一旦你可以定义一个考试或者一个游戏
[105:07] 那离它被解决也不远了
[105:10] 真实世界之所以很难被解决
[105:11] 就是因为它不是一个被定义或者被游戏或者考试一个很大的特征
[105:18] 就是说它被设计的时候
[105:19] 它就已经有了一个非常好设计好的
[105:22] reward或者一个非常设计好的答案了
[105:26] 当你已经有一个非常好的设计好的reward
[105:28] 或者一个非常设计好的答案的时候
[105:30] 那你现在因为有了general recipe
[105:34] 有了这样一个方法
[105:36] 通用的方法
[105:37] 那离它被解决也不远了
[105:39] 但真实世界之所以很难被解决
[105:41] 就是因为它没有一个标准答案
[105:43] 它没有一个标准的reward function
[105:46] 很多时候人做很多事情
[105:47] 他也没有办法去有一个rational reward
[105:50] 但是人还是
[105:51] 但是开放了
[105:52] 对
[105:54] 我觉得现在的主要的问题是这个
[105:57] 而不是说我有一个well defined reward
[105:59] 我有个well defined的answer
[106:01] 我怎么去找到它
[106:02] 这个事情通过rl就已经可以做了
[106:04] 你觉得我们未来还需要更多的推翻各种的基本的设定吗
[106:08] 我觉得需要
[106:09] 从模式承认上来说
[106:11] 人类一直在做这个事情
[106:12] 不是吗
[106:12] 最重要的事情往往就是推翻最基本的假设
[106:16] 可能我现在最关注的一个假设
[106:17] 就是说一个东西的评估是基于比如说500个任务
[106:21] 这500个任务你分别跑500次
[106:24] 然后你把这些平行的这些数据加在一起变成你的一个reward
[106:30] 但这个我觉得是和之人完全不一样
[106:32] 对吧
[106:32] 就是说人你在公司上班
[106:37] 重要的是你比如一天30天一年之后变得有多好
[106:42] 而不是说我在100个平行宇宙把你放到这个公司第一天
[106:46] 你能做的多好
[106:47] 我觉得这是一个基本假设的区别
[106:49] 你感觉在竞赛环境下
[106:51] 和实战环境下的区别是什么
[106:53] 因为也有一种说法说有些模型公司
[106:56] 他会在竞赛环境下的bench mark很高
[106:58] 但是实战不开心
[106:59] 有的模型公司就在实战环境下就比较好一些
[107:03] 我觉得我们需要去更多的考虑一个东西的实际价值
[107:09] 因为大家发现
[107:10] 我觉得我写这个博客的另一个motivation
[107:12] 就是说大家发现刷榜实在太容易了
[107:15] 就是你总有办法把这个榜刷的很高
[107:17] 但这样的话
[107:19] 有些东西的实际价值很高
[107:21] 有些东西
[107:21] 价值很低
[107:23] 这是一个问题
[107:25] 我觉得我们就需要有更好的评估方式
[107:28] 你觉得agent会迎来大爆发吗
[107:30] 在今年
[107:31] 我觉得会
[107:32] 我觉得就是说我们2025年或者2024年
[107:36] 才终于有了这样一个通用的方法去做agent
[107:40] 之前很多东西还不ready
[107:42] 你要有很强的语言鲜艳
[107:44] 你要有推理
[107:45] 你要有强化学习
[107:46] 然后我觉得这东西才刚刚被unlock
[107:50] 才刚刚被解锁
[107:51] 有很多可以做的事情
[107:54] 你觉得好的AI产品经理应该长什么样
[107:57] 我觉得好的AI产品经理可能就是一个好的产品经理
[108:00] 并且可以第一性思考
[108:02] 因为AI是个变化很快的事情
[108:05] 但是我觉得可能不变的事情是
[108:06] 相对更不变的事情是人或者人性
[108:10] 或者人的需求
[108:11] 我觉得这可能是变化的反而更慢的事情
[108:13] 我觉得就是说你能找到一个好的需求
[108:16] 然后你能从第一行为里反推
[108:18] 就是说把这事情做成
[108:20] 我需要去应用什么样的技术
[108:21] 我觉得这个事情是比较重要的
[108:27] 你听肖鸿的播客你有什么感觉吗
[108:30] 我觉得挺有意思的
[108:32] 对我印象最深刻的是
[108:36] 他说VC是一个非常贵的融资方式
[108:40] 不是在你不好的时候
[108:41] 而是在你好的时候
[108:42] 我觉得这句话说的挺有意思的
[108:45] 对我觉得他有很多挺不一样的词法问题的角度
[108:51] 我觉得就是和AI认识的事
[108:53] 所以我觉得对我来说挺新鲜或者挺有意思
[108:56] 你会考虑创业吗
[108:58] 我觉得OpenAI可能大多数人都会考虑创业
[109:01] 因为现在是一个非常exciting的时候
[109:05] 然后而且现在已经有很多OpenAI人出去创业了
[109:08] 我需要去做更有挑战的事情
[109:09] 那很自然就会去创业
[109:11] 但我觉得还是应该找到一个好的事情
[109:15] 我还是喜欢把事情想得清楚一点再去做
[109:19] 你对未来12到24个月agent领域的想法是什么
[109:21] 你对未来12到24个月的有可能发生的有什么预测
[109:25] 我觉得首先可能这些模型公司的chatbot的系统
[109:28] 会演化成一个很自然的agent
[109:31] 它会是很自然的过渡
[109:32] 就是说可能默认的比如说Grok或者ChatGPT
[109:36] 或者Antropic Cloud
[109:38] 它默认的这样的一个交互方式
[109:40] 就会是一个agentic的交互方式
[109:42] 我觉得chat可能还会保留或者作为一个子集
[109:45] 但是我觉得agent会成为一个很显然更重要的交互方式
[109:50] 然后我觉得会有新的
[109:51] 类似于cursor的产品出现
[109:54] 就cursor是在coding和ide的环境下做一个copilot
[109:58] 但我觉得会有机会做一些新的环境
[110:01] 或者更大的环境下的copilot
[110:03] 然后这两种大的交互方式是互补的
[110:06] 或者说不一样的正交的
[110:08] 就一个是比如说我有一个基于模型的
[110:13] 然后可能是一个remote的virtual machine
[110:18] 或者一个environment
[110:19] 然后我在里面做很多事情
[110:21] 在另一边是有很多既有的环境
[110:25] 比如说既有的这些软件
[110:26] 或者既有的这些场景
[110:28] 然后我次把agent的或者AI的能力引进去
[110:33] 我觉得大趋势可能就这两方面都会发生
[110:36] 所以说类似于devon或者类似于cursor的事情
[110:39] 我觉得都会往下发展
[110:42] 如果我们想推动agent一个能力变得更强
[110:46] 是要在哪里做工作
[110:47] 是在portraining做工作
[110:49] R2做工作
[110:51] 是一个应用创业者
[110:52] 我这两个东西是做不了的
[110:54] 最多尝试一些端到端的R2的一些过程
[110:58] 对吧
[111:00] 对我觉得可能最重要的事情还是想清楚价值
[111:02] 就想清楚你的应用的价值是什么
[111:05] 就是你的痛点是什么
[111:06] 你要解决的问题是什么
[111:08] 然后我觉得可能虽然你可能不能做portraining
[111:13] 或者不能做training
[111:13] 但是我觉得可能更有价值的点是
[111:16] 一个是agent和数字世界的交互的环境
[111:21] 是什么样的
[111:22] 它是基于mcp还是api还是一些别的东西
[111:25] 另一个是人和agent交互的方式是什么样的
[111:28] 这两个事情是你可以去做
[111:30] 并且它需要很多设计
[111:33] 需要很多infra
[111:34] 需要很多工程
[111:35] 需要很多各种各样的东西
[111:37] 我觉得现在做它远远不够好
[111:39] 还有很多进步的空间
[111:41] 我觉得可能还有另一个很重要的事情
[111:42] 就是说怎么去构建一个生态系统
[111:45] 或者怎么去构建机的user的intention
[111:48] 或者用户的这种context或者intention
[111:52] 然后我觉得这个事情还有很多可以做的空间
[111:56] 你刚才提到了agent的infra相关的
[111:59] 如果说两年后agent已经大爆发了
[112:02] 巨量的agents在数字世界运行
[112:06] 你感觉agent需要重新帮他设计一套新的数字化系统吗
[112:10] agent需要的虚拟机电脑
[112:13] 浏览器
[112:14] 搜索的api
[112:15] 身份认证
[112:16] 经济系统等等
[112:18] 这套infra是为agent设计的
[112:20] 而不是完全设计的
[112:21] 我个人感觉可能两年以内
[112:25] 这个世界可能还不会变得这么分布式
[112:27] 可能还是会更偏中心化
[112:30] 就是说会有一些superapp
[112:32] 比如说现在当然ai有很多创业公司
[112:34] 对吧
[112:34] 但是做的好的就是那么几家
[112:37] 对吧
[112:37] 我觉得可能两年的还是会有些superapp
[112:41] 然后这些superapp会有各自的infra
[112:44] 有各自的这些environment或者交互方式
[112:47] 两个事情都可以做到极致
[112:49] 一个是基于用户
[112:50] local的
[112:51] 这些digital environment
[112:52] 比如说我有一个手机
[112:53] 我有个电脑
[112:54] 我有个软件
[112:55] 我已经在这儿了
[112:56] 我怎么把它去扩充
[112:58] 怎么把它去变得更好
[113:00] 另一个事情是从头创造新的environment
[113:03] 对吧
[113:03] 比如说我做deep research
[113:04] 或者我做operator
[113:05] 我实际上创造一个新的environment
[113:07] 我觉得这两个事情都还有很多可做的空间
[113:09] 对两年后呢
[113:12] 我觉得没有人能看到两年以后
[113:13] 这个世界就是变化很大
[113:16] 我觉得你能有一些像科幻一样的预测
[113:20] 或者想法
[113:20] 或者
[113:21] 或者你的图景
[113:23] 但是很难说
[113:25] 我觉得没有人可以预测两年以后发生什么
[113:27] 对
[113:28] 你在OpenAI的一个好处是不是
[113:29] 你可以知道有哪些事情是它的主赛道
[113:32] 就是它一定会做的
[113:33] 然后有哪些事情可能是创业公司的机会
[113:35] 你会有这样的感知吗
[113:37] 我觉得每个公司
[113:39] 一旦它有它的super app之后
[113:42] 它的所有事情会围绕它的super app
[113:44] 当你比如说有try gpt之后
[113:47] 你训练模型的方式
[113:48] 包括组织架构
[113:49] 包括很多事情
[113:50] 都会围绕这个try gpt去重构
[113:53] 对吧
[113:55] 我觉得如果你做一个和try gpt形态很不一样的东西
[113:58] 还是会有机会的
[113:59] By the way
[114:00] 为什么你的文章叫second half
[114:02] 为什么现在是中场呢
[114:04] 因为我觉得从方法论上
[114:07] 我们刚刚实现了一个基点一样的时刻
[114:12] 就是说我们终于有一个非常通用的方法
[114:14] 就可以去解决各种各样的事情了
[114:18] 如果你问一个十年前的AI researcher
[114:20] 他会认为
[114:21] 比如说去做翻译和去用去玩游戏
[114:25] 和用电脑去订票
[114:27] 和去做数学是完全不同的事情
[114:31] 他需要的方法完全不同
[114:33] 他需要的人完全不同
[114:35] 他是完全不同的社区
[114:36] 对吧
[114:37] 他们开完全不同的会
[114:38] 有完全不同的paper
[114:40] 什么有关系的这些事情
[114:42] 但现在终于这些事情都用一个方法可以解决了
[114:47] 这是一个本质性的方法论上的
[114:50] 几点时间
[114:52] 你是放在一个更长的人工智能的历史里面来说的
[114:55] 并不是说就这一两年的一个事
[114:57] 我觉得是的
[114:58] 天下大事就是分久必合
[115:00] 和久必分的
[115:01] 对吧
[115:01] 我觉得大家已经分的太久了
[115:04] 一个做回答问题的researcher
[115:08] 和一个做写代码的researcher
[115:10] 他可能5年前完全没有任何沟通
[115:13] 因为这两个事情完全不一样
[115:15] 现在这个事情可能就一个事情
[115:18] 非常不恰当的比喻
[115:18] 就在像物理里面
[115:20] 柳顿力学突然被提出来
[115:21] 就是人们发现这个世界其实是可以用一个统一的方法去理解了
[115:26] 现在感觉我们意识到这个世界上的很多问题是可以用一个统一方法去解决了
[115:32] 我觉得这是一个本质的不一样的事情
[115:35] 之前有很多伟大的事情
[115:38] 是在为这个事情做铺垫
[115:39] 对吧
[115:39] 我觉得transformer是个很伟大的事情
[115:41] presonation是很伟大的事情
[115:43] 有很多很伟大的事情
[115:44] 但是这些很伟大的事情
[115:45] 最后导致了这样的一个事件的发生
[115:47] 就像柳顿之前
[115:50] 有很多很伟大的事情为他做铺垫
[115:52] 对吧
[115:52] 就是说开普勒
[115:54] 然后甚至亚历斯多德
[115:56] 就有各种各样的事情都很伟大
[115:58] 但是他们最终导致了柳顿力学诞生
[116:00] 这样一个
[116:01] 我觉得物理里面可以说
[116:03] 祭奠性的事件
[116:04] 对吧
