[00:06] 然后我们这里可以看一下DeepSeek R1的paper
[00:09] 它的标题叫做
[133:09] 可能有六次对的
[133:10] 其中长短各一
[133:12] 我就每次都挑出时间中间短的
[133:14] 我再把它翻去回去
[133:16] 这样子这模型就学会
[133:17] 我其实该用些短的
[133:19] 还有一些叫
[133:20] DVO算法
[133:21] DVO算法意思是说
[133:22] 我现在有一堆一些好的
[133:24] 和一些坏的例子
[133:25] 我让
[133:26] 然后我告诉模型
[133:27] 你要学好的
[133:28] 然后远离坏的
[133:29] 这意思可能就是说
[133:30] 我会把就是长的东西作为这
[133:32] 我会把短的回复作为好的
[133:34] 把更长的回复作为差
[133:36] 这样子模型就会慢慢的说
[133:37] 好的
[133:38] 那我其实该学会慢慢的
[133:39] 倾向于这种短的回复
[133:41] 然后最后一个技巧说的是
[133:44] 就是它叫Long to short RL
[133:46] 在这个阶段其实就是
[133:48] 在这个阶段
[133:49] 他们其实
[133:50] 他们就会
[133:51] 他们用了我们刚刚说这样子的
[133:53] 就是就是对于模型长度
[133:55] 这样子的惩罚
[133:56] 也就是说长的这样子的回复
[133:58] 会受到一定的惩罚
[134:00] 这样子的方式来鼓励模型
[134:02] 有更短的回复
[134:04] 然后在这里面
[134:08] 其实他们实验上面
[134:09] 就做了一系列的对比
[134:10] 然后
[134:12] 首先他们的两个主要结论
[134:14] 一个事情是他们仍然发现
[134:16] 就是说确实就是说
[134:17] 理论上一般来说回复越长
[134:19] 你的就是模型性能越好
[134:21] 其实也就是跟着Tesla来说
[134:22] 也就是跟着Tesla scaling
[134:23] 你用了更多Tesla的算
[134:25] 这种推理式算力
[134:27] 那你的性能越好有关
[134:28] 他们也发现这个结果
[134:29] 而且效果呈近次的线性
[134:32] 然后另一个方面是他们就是
[134:34] 把我们刚刚说的这几种
[134:36] 其实就是
[134:37] 其实你可以看他们团队工作非常扎实
[134:39] 把能想的方法都试一遍
[134:41] 看看哪个好就用哪个
[134:42] 对非常
[134:43] 非常好的一个解题思路
[134:45] 然后都试一遍
[134:46] 他们最
[134:47] 这些方法都非常有效
[134:49] 然后他们最后
[134:51] 的结论是
[134:52] 这样子的long to short的rl算法
[134:54] 是最佳的就是
[134:55] 就是在给定一样的就是token的情况
[134:59] 他们效果更好
[135:00] 给一定的效果
[135:01] 他们更加token efficient
[135:02] 也就是你最后再做很强化学习的方法
[135:04] 应该是目前看的最优解
[135:06] 这是他们在long to short上面的一些工作
[135:08] 然后我们现在可以在最后
[135:12] 还有他们的消融实验
[135:13] 对
[135:14] 然后这里k一点
[135:17] 我也有一些非常有意思的消融实验
[135:19] 我们可以聊一下
[135:20] 他们的第一个消融实验是说
[135:22] 就是说模型的大小
[135:24] 跟性能的能力有什么关系
[135:27] 包括就是说你这模型思维链的长度
[135:29] 之间是有什么关系
[135:30] 然后这里的话就是
[135:32] 这里的话他们的结论其实非常有意思
[135:35] 而且其实这我觉得这对后面业绩
[135:37] 也会有一个非常实际的影响
[135:39] 简单来说
[135:40] 就是如果说大家思维链长度一致
[135:42] 我觉得肯定不疑
[135:43] 肯定不意外
[135:44] 就是你越大的模型效果会越好
[135:46] 但是如果说你一个短的模型
[135:49] 可以通过生成更长的思维链
[135:52] 方式的方式
[135:53] 与大模型的性能相媲美
[135:56] 同时如果说你的就是
[135:58] 如果你的就是瓶颈只是说
[136:00] 我推理是能用多少算力
[136:02] 那么这个时候你一个小的模型
[136:04] 让它生成更多的思维链
[136:05] 说不定就能跟就大的模型相打
[136:09] 因为大的模型你要一样的算力
[136:10] 那就只能生成更短的思维链
[136:12] 这之间不一定能打赢
[136:13] 可能就是根据你不同的设置
[136:15] 可能会是一个开放的问题
[136:17] 这个事情其实听起来是非常利好
[136:19] 小模型或者说就是用户自己布置模型
[136:21] 对吧
[136:22] 一个就是
[136:23] 如果说整个故事真的能够继续延续下来
[136:26] 可能有一天你会发现说
[136:27] 我们可能手机上一个几B的模型
[136:29] 但是你还生成一个超长思维链
[136:32] 说不定也能跟那种就是服务器上一个几百B的模型
[136:35] 相媲美
[136:36] 对
[136:37] 对
[136:40] 这是他的第一个
[136:41] 这是他的第一个观点
[136:42] 然后第二个观点其实是说
[136:44] 他除了这样子的
[136:46] 我们刚刚说到这样
[136:47] 他的就是
[136:48] 他的这样的强化学习算法之外
[136:50] 他还试了一些别的强化学习算法
[136:52] 一个非常简单叫做RES的强化学习算法
[136:54] 算法
[136:55] 我们回顾一下
[136:56] 就是K1.5以及DeepSig的强化学习算法
[136:59] 大概思路是说
[137:01] 一不要离最开始的策略太远
[137:04] 二如果做的好
[137:06] 就鼓励他多做
[137:08] 如果做的差
[137:09] 就让他少做
[137:10] 这就是他做的所有事情了
[137:13] 然后这里面他其实
[137:15] 然后还有一类更简单的算法
[137:17] 叫做RES
[137:18] 他也被称为STAR
[137:19] 或者FilterBC Rejection Sampling Fine Tuning
[137:21] 来给他很多名字
[137:23] 方法很简单
[137:24] 就是
[137:25] 你这模型
[137:26] 比如你试了100次
[137:27] 他其中有30次对的
[137:28] 其实是错的
[137:29] 你就把他那30次对的给揪出来
[137:31] 然后用模型fine tune
[137:33] 在这30次上进行fine tune
[137:34] 然后结束
[137:35] 然后你再进行下一轮
[137:36] 你在这个新的模型上再进行
[137:38] Rejection Sampling Fine Tuning
[137:40] 你sample出100个
[137:41] 比如对到31个
[137:42] 你就用这31个再进行fine tuning
[137:45] 然后我们用刚刚的思路来套
[137:47] 它的区别是什么
[137:49] 其实最主要的区别
[137:50] 我们可以看到两个
[137:51] 一个是说就是他没有说
[137:52] 你要离最开始的策略足够近
[137:54] 然后另一个事情是说
[137:56] 他没有说
[137:57] 如果这东西不好
[137:58] 你就
[137:59] 如果这个东西不好
[138:00] 你就不要往这走
[138:02] 他只告诉你
[138:03] 如果这个好
[138:04] 你就学
[138:05] 就是他少了这么一步
[138:06] 然后我们可以看到
[138:07] 就是他这里画了个表
[138:08] 画了一个图
[138:09] 就是说
[138:10] 简单来说
[138:12] 你这样子的
[138:13] 这样子的rest类似的算法
[138:14] 它的效果差了相当相当多
[138:16] 整个test time scaling也好
[138:17] 或者整个强化学习也好
[138:18] 就
[138:19] 完全没有起来
[138:20] 有的时候就可能只涨了一点点的
[138:22] 就三四个点
[138:23] 但是如果你有
[138:24] 你用就是K1.5
[138:26] 或者R1的强化学习算法
[138:27] 就能涨十几二十个点
[138:29] 就是完全是天壤之别
[138:31] 然后这里的话
[138:32] 其实大家主要的
[138:33] 这里大家猜测也好
[138:34] 主要是说就是他没有用
[138:36] 所谓的negative gradient
[138:37] 就是说
[138:38] 没有告诉模型
[138:39] 不好的东西
[138:40] 你不要学
[138:42] 就是你要少做
[138:43] 这个事情其实后面有
[138:44] 之前有论文章讨论过
[138:46] 就是你通过告诉他哪个地方
[138:48] 不该做
[138:49] 你会可以让这个模型更有效的
[138:51] 把自己就是整个策略的
[138:53] 就是重心
[138:54] 往那些新的
[138:55] 就是好的策略上进行迁移
[138:56] 没有的话整个事情会很麻烦
[138:59] 然后这里主要的其实观点
[139:01] 就是说一个非常一个好的优化算法
[139:03] 还是非常重要的
[139:04] 这是当然不清楚
[139:06] 就是也有可能opinion内部
[139:07] 有一些比较有意思的算法
[139:09] 也有可能他们内部就是
[139:10] PPO或者G2PO的变种
[139:12] 都有都有可能
[139:13] 这个地方我觉得可能得让
[139:15] 时间给我们答案了
[139:17] 对
[139:19] 然后最后一个事情
[139:20] 就是我们之前提到说
[139:21] 就是K1.5它有一些策略
[139:23] 就是不是说我们每次随便给他一些题
[139:25] 而是说让他提的就是难度
[139:27] 跟就是模型的能力相对挂钩
[139:30] 你可以给他一点点提高难度
[139:31] 你可以给他一直就是有点难
[139:33] 有点能做出来
[139:34] 但是也不是完全能做出来这样子的题
[139:36] 然后在这里其实他们这图里面就画了一个
[139:39] 在第9图9中就画了出来
[139:42] 就是就画了出来说
[139:44] 如果你用这样的curriculum learning方式
[139:46] 给他与自己模型能力相适应的难的题
[139:51] 他能学得更快
[139:52] 而且就是学得更好
[139:54] 这是他做到基本上所有的实验
[139:56] 对
[139:57] 然后我们可能对
[139:58] 这应该就两个文论文讲的大部分事情了
[140:01] 我们可能可以最后再提一下
[140:03] 就是Deep Seek他稍微提了一下
[140:04] 他们最后的未来想往哪里发展
[140:06] 这些我们可以稍微过一下
[140:08] 对
[140:09] 就Deep Seek最后他在conclusion说了之后
[140:11] 就是他说了几个事情
[140:13] 他们想在未来做
[140:14] 可能这会就是之后的R2
[140:15] 或者更多的文章
[140:19] 一个事情是说就是说R1整个就是
[140:22] 他这样子的手段其实还是个比较初期的
[140:24] 他有些能力还没有特别的照顾到
[140:26] 这里他主要提的是说就是
[140:28] function calling
[140:29] 也就是使用外界的函数调用
[140:32] 以及多轮的对话
[140:35] 多轮的调用
[140:37] 以及复杂的就是决策扮演
[140:39] 以及就是有格式的输出
[140:41] 比如你看他输出JSON这样的形式
[140:43] 在这些任务上
[140:45] 可能因为R1没有有相对的优化
[140:48] 所以说可能性没有相对如人意
[140:51] 但后面可能你在上面有些相对的技术
[140:54] 数据上的一些关照之后
[140:56] 就可以快速的提起来
[140:57] 然后第二个事情是说他们发现
[140:59] 哪怕他们做了一系列就是关于language mixing
[141:01] 就是这样子会切换语言的
[141:03] 这样子的一些惩罚之后
[141:07] 这个模型仍然有的时候会切换语言
[141:09] 特别说如果你用一个非中文
[141:11] 非英文的语言的情况下
[141:13] 他有时候还是会用英文之类的
[141:15] 然后他们说后面希望把这些给解决到
[141:17] 来提升用户的就是
[141:19] 来提升用户的体验
[141:21] 后面就是其实也是现在O1这样的模型
[141:23] 一个常见的问题
[141:25] 就是说这样的模型
[141:27] 因为经过强化学习之后
[141:29] 他的就是prompt engineering
[141:31] 就是你该怎么样写提示词
[141:33] 跟之前的那种聊天机器人写法不太一样
[141:35] 用户会有一些就是适应的
[141:37] 会有一些适应的难度
[141:39] 比如说在这样子的模型里面
[141:41] 你可能更好的是
[141:43] 你直接把整个问题告诉他
[141:45] 同时把你的就是要求一五一十写出来
[141:47] 会比就是你写几个例子
[141:49] 更加好用
[141:51] 这些东西他会去
[141:53] 就是他会跟之前有些不兼容
[141:55] 可能一方面用户会进行牵引
[141:57] 然后一方面模型厂商也会让这个
[141:59] 他会更推这种就是提示词
[142:01] 更加的有鲁邦性
[142:03] 就更加不再挑提示词
[142:05] 然后最后一个其实也跟我个性比较接近的
[142:07] 就是他说他们对于在这种就是软件工程的任务上面
[142:09] 希望有更大的提高
[142:11] 其实这个就是我们
[142:13] 我之前做一些就是关于这方面的工作
[142:15] 就是像Switch或者这些的事情
[142:17] 大概意思是说就是这样的强化学习
[142:19] 像在R1中的话他们主要还是对这种竞赛的
[142:21] 这种题就是一个非常短的
[142:23] 一个非常短的问题
[142:25] 然后你可能写出一个100行左右的函数
[142:27] 然后来看他对不对这样的例子上面R1能做的非常好
[142:29] 但是他们并没有
[142:31] 对于就是所谓就是这种
[142:33] Software Engineering Task进行优化
[142:35] 这些的任务其实最主要的
[142:37] 例子就是SwayBench或者这样的MLEBench
[142:39] 具体的任务可以
[142:41] 类似于说在Github上随便给你一个
[142:43] 问一个issue
[142:45] 或者一个PR
[142:47] 就是Github上一个
[142:49] 大家开发软件时的一个任务
[142:51] 你的模型能不能
[142:53] 自主的解决这个任务
[142:55] 同时交一个PR
[142:57] 这个PR你要求他能够
[142:59] 过所有Test Case
[143:01] 这大概是他的一个Setting
[143:03] 或者说像开口上的一些MLEBench
[143:05] 他的设置是说开口上有竞赛题
[143:07] 你能不能卷
[143:09] 你能不能自己给这些数据
[143:11] 给你一个这样子的一个电脑
[143:13] 你能不能自己卷到金牌
[143:15] 或者卷到银牌这样的设置
[143:17] 在这样子的设置上的话
[143:19] 你可以想看整个代码库会非常复杂
[143:21] 你可能不是说输出一个一百行代码
[143:23] 就了事儿
[143:25] 要改来改去或者说跑一会儿实验
[143:27] 然后再看看
[143:29] 他会是一个更加所谓Agent或者智能体的一个设定
[143:31] 然后在这个情况下
[143:33] R1还没有在这个情况下做强化学习
[143:35] 然后他们后面会希望在
[143:37] 在这个方面
[143:39] 进行更多的强化学习
[143:41] 他们的目标是在上面进行
[143:43] 要么是拒绝是采样
[143:45] 或者说进行强化学习
[143:47] 当然这样强化学习延迟会非常高
[143:49] 所以他们会希望用一步的方式
[143:51] 去强化自己的训练效率
[143:53] 这里插播广告的话如果大家感兴趣
[143:55] 可以看一下我和合作者做的工作
[143:57] Switch In
[143:59] 这应该是这方面的第一篇工作
[144:01] 而且我们有些非常漂亮的scaling results
[144:03] 在哪里可以找到呀
[144:05] 这个工作是公开的就直接搜就好了
[144:07] 回头我可以贴一个链接
[144:09] 你有没有计算过Kimi
[144:11] 他做的这个1.5花多少钱
[144:15] 我觉得就是Kimi的话应该都是类似的
[144:17] 对我觉得应该都会是类似
[144:19] 当然他模型大小没有告诉我们
[144:21] 但是我觉得数量级肯定是类似
[144:23] 因为他们效果也是类似的
[144:25] 应该是都是差不多的我会猜测
[144:27] 这就是我们这几篇报告的全部内容对吧
[144:29] 嗯对是的
[144:31] 那我们刚才就相当于是做了一下运训练
[144:33] 接下来我们来强化学习一下
[144:35] 我来问些问题
[144:37] 我们试一下
[144:39] 我听下来我感觉就是这一次
[144:41] 不管是R1 R10还是Kimi 1.5
[144:43] 它的核心的突破
[144:45] 因为大家都说AI驱动三要素
[144:47] 是数据算力算法嘛
[144:49] 那这次的核心突破还是算法的突破
[144:51] 对我觉得是算法突破
[144:53] 不过这个算法突破其实是
[144:55] 是建立在就是之前的这些积累之上
[144:57] 就是说可能这样的实验
[144:59] 我们可能拿更老的模型
[145:01] 比如说可能比如拿Lama1
[145:03] 或者一些更小规模的模型
[145:05] 可能就是你做不出R1或者Ki1这样的效果
[145:07] 你这模型在这个阶段之后
[145:09] 我们发现哦在这个阶段之后
[145:11] 它其实进了强化学习就能行了
[145:13] 然后我们算法就突破了
[145:15] 对我觉得是这样的逻辑
[145:17] 上一次闭门会的时候他们也在聊
[145:19] 就是说Deep Seek带来的震撼不是开源
[145:21] 而是不需要做SFT了
[145:23] 刚才我们好像SFT讲的不是很多
[145:25] 有监督微调
[145:27] 这个会带来一个新的范式或者架构吗
[145:29] 我觉得
[145:31] 我觉得这个事情
[145:33] 可能不一定
[145:35] 就是我理解是这样子的
[145:37] 首先就是说之前的SFT
[145:39] 或者这样的RHF跟HFT
[145:41] 其实是个比较大规模的一个事情
[145:43] 就你可能会需要几千
[145:45] 就是一般是上万或者说
[145:47] 在一些工业界可能是就是
[145:49] 100万左右量级的这样的SFT data
[145:51] 进行训练我的理解是
[145:53] 在这里的话不管就是不管你说是R1
[145:55] 或者K1.5他们其实也都说
[145:57] 其实是一些非常少量的一些就是
[145:59] 少而精了这样子的SFT数据
[146:01] 它其实收集成本并没有那么高
[146:03] 而且就算到未来可能也没有很高
[146:05] 然后同时是说就是
[146:07] 这里当然你少了这种SFT的数据标注
[146:09] 这当然是大好事
[146:11] 但是你要在这样子的斗面进行强化学习
[146:13] 你需要收集另一种数据
[146:15] 这种数据就是这样子的问题答案对
[146:17] 对吧
[146:19] 这样子的数据可能就是
[146:21] 也会需要很大的人力成本进行标注
[146:23] 而且因为这种问题现在模型这么聪明
[146:25] 你要收集足够难的问题
[146:27] 那可能之前
[146:29] 之前可能就是找一些标注人员
[146:31] 现在可能就需要找各种方向的
[146:33] 专家或者一些博士生
[146:35] 硕士生才能够进行相关的标注
[146:37] 对我觉得就是大家可能就是
[146:39] 之后标注的数据类型会慢慢的
[146:41] 进行一些变化
[146:43] 数据标注非常重要对吧
[146:45] 更重要了好像是
[146:47] 对我觉得一定是非常重要的
[146:49] 对对对我觉得一定是的
[146:51] 那现在在这个数据标注问题上
[146:53] 有什么不一样吗
[146:55] 我觉得他们其实都对这个事情
[146:57] 藏得非常深都没有怎么了
[146:59] 其实这也说明这才是他们
[147:01] 可能最重视的方面之一吧
[147:03] 对吧
[147:05] 我知道一些小游戏里
[147:07] 就是OpenAI其实一直以来在
[147:09] 以一个小时一百刀两百刀的方法
[147:11] 找各种
[147:13] 就是博士生也好帮他们标数据
[147:15] 就是可能就是
[147:17] 他们会需要这种比较难的
[147:19] 而且就是这种专业面的
[147:21] 数据标注而且后面可能
[147:23] 就是需求会越来越高
[147:25] 这个具体的工作是怎么做的呀
[147:27] 就是能不能描述一下
[147:29] 比如说一个博士生
[147:31] 帮他们标数据
[147:33] 什么样的数据会标成是好数据呢
[147:35] 这个东西我当然没有经验
[147:37] 但是比如说我们可以从这报告中大概猜测一下
[147:39] 对吧就是
[147:41] 可以想想看什么样的数据是好数据
[147:43] 就是首先这东西要是个非常难的推理任务
[147:45] 对吧你问他一个就是什么1加1等于2
[147:47] 模型就完全
[147:49] 他都会就是没有什么用
[147:51] 一个是可能说你希望这是一个就是
[147:53] 非常非常难的任务
[147:55] 对模型是有就是学习难度的一个任务
[147:57] 这样子他才能在这个上面练出东西来
[147:59] 然后另外一个事情是说你可能希望
[148:01] 他覆盖了一定的专业知识
[148:03] 对吧就是这样子的话
[148:05] 他能够就是同时就是锻炼这些专业
[148:07] 这些这个方向
[148:09] 这个专业上的这些能力
[148:11] 然后同时可能说你希望他可能跟用户想要的
[148:13] 那些就是能力
[148:15] 相挂钩对吧
[148:17] 可能我觉得会是从这几个方面
[148:19] 然后目前来看的话
[148:21] 就是应该来说是
[148:23] 你会需要
[148:25] 其实说白了就是也是这样子的问题
[148:27] 就是最标准的形式可能就是问题
[148:29] 解题思路和答案这个三元素
[148:31] 就是理论上来说这个模型
[148:33] 可能训练的时候只需要问题跟答案
[148:35] 那是一般标准的时候你为了
[148:37] 就是可能他们为了防止
[148:39] 防止你乱写答案也好
[148:41] 或者说这个解题思路本身
[148:43] 后面也会有些别的作用也好
[148:45] 这个肯定还是会收这个的
[148:47] 然后当然就是这个是我们建设这种推理模型
[148:49] 第一步要说的数据
[148:51] 就是很丰富有意思的数据对吧
[148:53] 比如你最后要做智能体或者是
[148:55] 这样子多轮多轮的工具
[148:57] 使用也好那么你可能就会需要
[148:59] 一些就是
[149:01] 比如说一些比如说你是
[149:03] 怎么样一步步
[149:05] 一步步开发某个软件这样的数据
[149:07] 或者说这个软件你在
[149:09] 代码库里面你要干一个什么事情
[149:11] 然后你怎么写个test case
[149:13] 这样子的数据或者说我现在要做一份
[149:15] 行业调研报告
[149:17] 然后你可能会说
[149:19] 我想写行业调研报告
[149:21] 然后你还需要用一些真的
[149:23] 那种行业调研报告来作为reward
[149:25] 来教模型什么是好调研报告
[149:27] 这样子就是我觉得这东西
[149:29] 后面会很丰富
[149:31] 我们可以把这个数据标注人员
[149:33] 理解成AI的教练
[149:35] AI的培训员
[149:37] 对我觉得完全可以
[149:39] 其实这也是现在这个技术路线的
[149:41] 一个瓶颈
[149:43] 就是它还没有那么zero
[149:45] 对吧它这些东西
[149:47] 它能学到这些能力其实还是
[149:49] 依赖于人基于在对就是
[149:51] 人先有这样的环境让他学
[149:53] 对吧我觉得这些可能是
[149:55] 就是Noel Brown其实就是OpenAI的
[149:57] 一个研究员他在OOI发布之后
[149:59] 自己成立了一个叫做
[150:01] Multi-agent research team
[150:03] 就是多智能体的一个
[150:05] 研究这个东西其实可能
[150:07] 我的猜测可能是他们内部有一些想法
[150:09] 想解决这件事情
[150:11] 就是Multi-agent这些其实是多个智能体之间
[150:13] 互相就是
[150:15] 表面意思就是你有多个智能体
[150:17] 然后大家可能一起干个事情或者一起竞争
[150:19] 然后你从RL上来讲其实说
[150:21] 我们就是我们会觉得就是这样子
[150:23] 就是叫做self play就是
[150:25] 就是这样的智能体
[150:27] 对博弈他们自己相互博弈
[150:29] 能产生出一些非常奇妙的东西
[150:31] 而且不依赖于额外监督
[150:33] 这可能会是一个未来的技术路线
[150:35] 但现在还
[150:37] 八字没一撇吧
[150:39] self play现在是实现不了的
[150:41] 对现在还没有看到实现
[150:43] 但是就OpenAI在读
[150:45] 但是而且说不定就实现了对吧
[150:47] 对我听你们上次还在聊说DeepSeek
[150:49] 就是对数据标注非常重视
[150:51] 也会打标签这个也很有意思
[150:53] 现在AI还需要AI培训员吗
[150:55] AI教练那慢慢的是不是
[150:57] AI可以脱离于人
[150:59] 进行自己的独立思考
[151:01] 进行自己的独立思考
[151:03] 我觉得这个是
[151:05] 很多研究员接下来会研究的重点
[151:07] 说白了就是说我们现在
[151:09] 特别是RL这一讲的事情
[151:11] 它是一个非常干净的设置
[151:13] 所以你可以研究一些Test and Scan的问题
[151:15] 当然你的模型也很漂亮
[151:17] 这个是个非常干净的设置
[151:19] 你人已经给它画好当教练了
[151:21] 就是要真的做成通用人工智能
[151:23] 你肯定是希望就像你说的
[151:25] 就是能够少接受人的监督
[151:27] 或者说你可以说要么是自监督
[151:29] 或者说是那种弱监督
[151:31] 就是你可以把整个互联网
[151:33] 或者就是离散的数据
[151:35] 或者就是散的没有经过人为组织的数据
[151:37] 作为你的监督信号
[151:39] 我觉得这是大家工作的目标
[151:41] 然后目前可以看到有些技术路线
[151:43] 是有一定的可行性的
[151:45] 比如我们之前说的就是
[151:47] 这样子的自博弈也好
[151:49] 或者是我们之前说的就是这种思维链的
[151:51] 模型也好
[151:53] 他们是有一定的可能性往这走的
[151:55] 我觉得我们可以看下技术发展
[151:57] 这些AI Lab需要的数据标注人员
[151:59] 大概需要一个多大的规模呀
[152:01] 这个事情我还真不太清楚
[152:03] 不过我就是
[152:05] K1.5和R1里面
[152:07] 他们其实有稍微
[152:09] 提到一下
[152:11] K1.5里面其实他们后面
[152:13] Appendix里面
[152:15] 就是写了一下他们的
[152:17] 就是贡献者
[152:19] 他们其中写了大概
[152:21] 应该是大概二十个人
[152:23] 写的那个贡献式
[152:25] 数据标注
[152:27] 我可能可以从这个地方进行
[152:29] 一些了解
[152:31] 还有人说读完DeepSig论文的感受是
[152:33] 他使用了很多节约硬件开销的技术
[152:35] 你觉得是吗
[152:37] 这个能不能展开讲讲
[152:39] 我觉得R1的话其实
[152:41] 他其实都没有讲那些技术细节
[152:43] 所以我其实没有感觉能看出R1有什么
[152:45] 节约硬件的技术
[152:47] 如果要说的话你可以说他的GRPO
[152:49] 他丢到一个这个奖励模型
[152:51] 所以说肯定比标准PPO要节约硬件一些
[152:53] 对
[152:55] 但你说R1本身的话可能别的地方
[152:57] 没有特别体现出这点
[152:59] V3当然就是
[153:01] 可以看出他非常非常多的那种漂亮设计
[153:03] 就为了榨干这个模型的
[153:05] 训练效率以及推理效率
[153:07] 那个是确实非常极致
[153:09] DeepSig为什么他上下文的
[153:11] 能力提升的很快
[153:13] 他确实输出是非常长的
[153:15] 对我觉得这个可能就是
[153:17] 我觉得你这里可能就是相对
[153:19] 之下可能是在说跟K1.5进行对比吗
[153:21] 我觉得可能
[153:23] 一个讯息可能就是
[153:25] 因为K1.5他们其实花了相当长的篇幅
[153:27] 在说他们该怎么样把这个思维链
[153:29] 砍短一些
[153:31] 我觉得可能跟这个有关
[153:33] 能够看得出来DeepSig的
[153:35] R1和R10
[153:37] 他是在多少卡的情况下
[153:39] 做出来的吗
[153:41] 我觉得这个很难看出来
[153:43] 但是应该不会很多
[153:45] 整个训练我觉得如果你说比如在
[153:47] 100到200卡
[153:49] 上
[153:51] 不过你这个MOE比较大
[153:53] 有个600币的MOE
[153:55] 可能我觉得就是几百卡上训出来
[153:57] 我觉得我完全不会意外
[153:59] 数据蒸馏现在来看是一条可行的路对吧
[154:01] 对我觉得就是在这个情况下
[154:03] 包括其实OpenAI也提到
[154:05] O1mini或者这个情况下
[154:07] 就数据蒸馏一定是就是
[154:09] 让小模型变强一个非常好的路
[154:11] 但是就只是蒸馏可能
[154:13] 还不够像我们刚刚就是
[154:15] 聊这个R1的蒸馏中提到
[154:17] 蒸馏之后可能再做一点
[154:19] 强化学习会更好
[154:21] 对但蒸馏本身现在已经是
[154:23] 被证明非常有效的
[154:25] 一个提升小模型性能的路线
[154:27] 蒸馏会带来什么样的坏处吗
[154:29] 比如说把智能
[154:31] 再次压缩它会变得笨一些
[154:33] 嗯我觉得就是
[154:35] 蒸馏的坏处你可能说是
[154:37] 当然就是比如你蒸馏和蒸馏的模型
[154:39] 跟就是老师模型
[154:41] 比呢肯定就是会
[154:43] 你会肯定就它会差一些
[154:45] 这里的就是前提是说
[154:47] 一个蒸馏的没有做强化学习的模型
[154:49] 相比于一个就是
[154:51] 正常的一个小模型比
[154:53] 可能有更多的幻觉
[154:55] 这里的原因是指就是你蒸馏之后
[154:57] 你其实是老师说啥你就信啥
[154:59] 对吧比如你可以想想看
[155:01] 如果这个老师模型它既会中文跟英文
[155:03] 你蒸馏的时候你给一个只会中文的
[155:05] 模型也蒸馏了英文
[155:07] 那这时候它肯定就学不到英文的这些技巧
[155:09] 对吧就是那些实际的那些逻辑
[155:11] 太复杂了那点数据根本不够它学
[155:13] 那它可能能看到每次开头
[155:15] 都是以比如i或者u
[155:17] 它会看到更多它会模仿一些那种
[155:19] 非常奇奇怪怪的一些这种
[155:21] 这种非常浅层的逻辑
[155:23] 让你实际看起来就是它这个
[155:25] 它会有些这种幻觉或者奇奇怪怪的输出
[155:27] 这东西是比较常见的
[155:29] 然后这个其实也是为什么就是说
[155:31] 会建议说蒸馏之后再进行一轮
[155:33] 强化学习的原因
[155:35] 你刚才提到就是一直在说
[155:37] DeepSeek的报告非常的
[155:39] 干净非常的漂亮
[155:41] 然后它就是
[155:43] 是一个非常好的爆款的报告
[155:45] 为什么DeepSeek这个在论文
[155:47] 是够爆但是Keyme没有爆完
[155:49] 对我觉得这个东西跟我们刚开始提的有关
[155:51] 我觉得一个还是就是DeepSeek
[155:53] 因为它一直以来是一种开源文化
[155:55] 在海外也好或者是国内也好有很多自来水
[155:57] 以及就是研究人员在关注它们
[155:59] 我觉得这个可能就是本身
[156:01] 就是整个开局就会更好一些
[156:03] 然后其次就是
[156:05] 他们一直看这些模型包括R1开源了
[156:07] 大家都可以玩
[156:09] 我相信如果K1.5这个多模态的推理模型
[156:11] 开源之后大家肯定也会非常喜欢
[156:13] 对然后此外的话就是说
[156:15] 这个报告本身
[156:17] 是因为K1.5我们可以看是
[156:19] 它讲了非常多的技术细节
[156:21] 但是是非常非常有用的技术细节
[156:23] 但是比如说如果你是从就是感受这个技术的美
[156:25] 或者就是说
[156:27] 它不会给你那么大的震撼
[156:29] DeepSeek的话它也就是隐藏所有的一些细节
[156:31] 当然可能也是出于他们就是
[156:33] 商业考量
[156:35] 但是就是它隐藏了很多这种技术细节
[156:37] 但是把那些算法本身的这些
[156:39] 就是精妙之处或者说一些
[156:41] 就是这些美展现给你
[156:43] 就更加的
[156:45] 对就会更加的震撼你
[156:47] 对你一开始也说
[156:49] 你看到这个报告看完了以后
[156:51] 觉得非常的兴奋非常的惊喜
[156:53] 就是它让你最兴奋的一点
[156:55] 是什么
[156:57] 我觉得其实就是我觉得是一个是算法
[156:59] 还有一个这个范式的革命吧
[157:01] 就是因为大家O1之后
[157:03] 其实大家都也非常兴奋
[157:05] 因为发现就居然现在还有
[157:07] 不止Pretraining了还有所谓
[157:09] 就是RL Training以及Test Time的Scaling
[157:11] 但是大家都就是
[157:13] 其实就是比如探索几个月
[157:15] 没有找到所谓的这个路线
[157:17] 然后R1
[157:19] 特别是就是R1这个Zero里面
[157:21] 它相对是完全解灭
[157:23] 就这样子的所谓的Training Time跟Post Training
[157:25] 以及就是Test Time Scaling路线到底怎么样
[157:27] 你看看这个文章你就可能能想到说
[157:29] 这个路线接下来的变革会怎么样
[157:31] 会走向何处
[157:33] 然后你可以做什么样的事情
[157:35] 就你有一个新的东西可以玩了
[157:37] 那当然会很高兴
[157:39] 然后还有就是这个算法本身也比较干净
[157:41] 你会在想啊然后它就这么简单
[157:43] 当时怎么自己想多了或者什么
[157:45] 还是没有很好的领悟所谓的Bit Lesson之类的对
